12	1
1024	1
1581	1
315	1
1886	1
1795	1
697	2
665	2
721	3
404	4
289	4
1793	4
1657	4
1129	4
187	4
1228	4
1946	4
1580	4
567	5
938	5
142	5
976	5
849	6
1111	6
1032	6
1641	6
394	6
298	6
1756	6
1275	6
1289	6
1408	6
852	6
1631	6
561	6
828	6
1531	6
318	6
1441	6
1749	6
1956	7
560	8
174	8
1112	8
1989	8
308	9
1832	9
1943	9
1280	9
1631	9
1837	9
1205	9
283	9
1050	9
1	9
1623	9
864	9
1971	9
850	9
1788	9
764	9
264	9
609	9
367	9
772	9
1291	9
619	9
545	9
1465	9
122	9
199	9
1862	9
495	9
2	9
1590	9
1247	9
164	9
304	9
700	10
